iter	Passed	Remaining
333	763	1521
334	764	1517
335	766	1513
336	767	1510
337	769	1506
338	770	1502
339	772	1498
340	775	1497
341	776	1494
342	778	1490
343	779	1486
344	781	1483
345	782	1479
346	784	1475
347	785	1472
348	787	1468
349	790	1467
350	791	1463
351	793	1460
352	794	1456
353	796	1452
354	797	1449
355	798	1445
356	800	1441
357	802	1438
358	805	1438
359	807	1435
360	808	1431
361	810	1428
362	811	1424
363	813	1421
364	814	1417
365	816	1414
366	817	1410
367	820	1409
368	822	1406
369	824	1403
370	825	1400
371	827	1397
372	829	1394
373	830	1390
374	832	1387
375	834	1385
376	837	1383
377	838	1380
378	840	1376
379	841	1373
380	843	1370
381	844	1366
382	846	1363
383	847	1360
384	850	1359
385	852	1356
386	854	1353
387	856	1350
388	857	1347
389	859	1343
390	860	1340
391	862	1337
392	864	1335
393	866	1333
394	868	1330
395	869	1326
396	871	1323
397	872	1320
398	874	1317
399	875	1313
400	877	1310
401	881	1311
402	883	1309
403	885	1306
404	887	1303
405	888	1300
406	890	1297
407	895	1298
408	897	1297
409	899	1294
410	901	1292
411	903	1290
412	905	1287
413	907	1284
414	912	1285
415	914	1283
416	915	1280
417	917	1277
418	919	1275
419	921	1272
420	923	1269
421	931	1275
422	933	1273
423	935	1271
424	937	1268
425	939	1265
426	942	1264
427	944	1262
428	946	1259
429	948	1257
430	950	1254
431	952	1251
432	956	1252
433	958	1250
434	960	1247
435	962	1245
436	964	1242
437	966	1240
438	968	1237
439	973	1238
440	974	1235
441	976	1233
442	978	1230
443	980	1228
444	982	1225
445	987	1226
446	989	1224
447	991	1221
448	993	1219
449	995	1216
450	997	1214
451	999	1212
452	1005	1213
453	1007	1211
454	1022	1224
